file	format	creator	verdict	payload	pieces	distinct_prefabs	missing_pct	loot_objects	creature_objects	bytes	sha256	licence	source
14464-Valheimian.blueprint	blueprint	Торкель	PLACES_WITH_GAPS	exploit	2330	101	0.09	491	0	339266	0387c1a4c1c80ffe0b63c902382ef518e0cb1b1718e68f328eb4fb2c6778d706	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/14464-Valheimian.blueprint
15643-Valheimian.blueprint	blueprint	Азура Тираэцу	PLACES_WITH_GAPS	exploit	5692	185	0.54	361	0	676527	76e1fbac1a0ec443a663e6a6e1a85aa5c2fc02c22263050ed5ae222df1a5441b	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/15643-Valheimian.blueprint
altar.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	527	27	0.0	0	0	49342	538e12f329836c0a90066481d53a5d60fde0263d47d735c49e63e581eb8acd47	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/altar.blueprint
altar.blueprint	blueprint	Olivanderr	PLACES_CLEAN	base	527	27	0.0	0	0	49342	538e12f329836c0a90066481d53a5d60fde0263d47d735c49e63e581eb8acd47	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/altar.blueprint
aodi-skardvakt-the-black-tower.blueprint	blueprint	Aodi	PLACES_CLEAN	base	366	8	0.0	0	0	36861	20403b117dab7c7aff16ece97963ee3ed53da7ccfd14eeec891b918c34fc580e	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/aodi-skardvakt-the-black-tower.blueprint
arty-dragontavern.blueprint	blueprint	Arty	PLACES_WITH_GAPS	base	6852	51	0.1	0	0	518926	bae11c44b77c4658107550b15eb8eb9947d27108bd8a211183b6e2f10f7311b5	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/arty-dragontavern.blueprint
arty-magetower.blueprint	blueprint	Arty	PLACES_WITH_GAPS	base	4948	56	0.36	0	0	488886	bd89c8daa098723769d4c66e6eb761a6b069f8b2594c26d9e6ca0c2faf6b79d2	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/arty-magetower.blueprint
arty-magetower.blueprint	blueprint	Arty	PLACES_WITH_GAPS	base	4948	56	0.36	0	0	488886	bd89c8daa098723769d4c66e6eb761a6b069f8b2594c26d9e6ca0c2faf6b79d2	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/arty-magetower.blueprint
berserkers-keep.vbuild	vbuild		PLACES_CLEAN	base	10686	55	0.0	0	0	624214	58736c1376f397943d379a9910cff10361c3383a0644d30ffb2cf557dd128e0d	none stated	/media/big4/projects/game/valheim/old/bp_old/config/default/bepinex_old/PlanBuild/blueprints/berserkers-keep.vbuild
berserkers-keep.vbuild	vbuild		PLACES_CLEAN	base	10686	55	0.0	0	0	624214	58736c1376f397943d379a9910cff10361c3383a0644d30ffb2cf557dd128e0d	none stated	/media/big4/projects/game/valheim/old/old/old/old_Storgard/config_merged/BepInEx/PlanBuild/blueprints/berserkers-keep.vbuild
