name	nview	persistent	distant	ztype	piece	water_piece	no_in_water	ground_only	ground_piece	clip_ground	clip_everything	not_on_wood	not_on_tilting	not_on_floor	no_clipping	allow_alt_ground	comfort	space_req	category	piece_name	wnt	material	health	supports	no_support_wear	no_roof_wear	hit_noise	min_tool_tier	ship	ship_force	ship_disable_level	ship_water_offset	ship_impact_dmg	ship_ashlands_ready	ship_has_sail	floating	float_water_offset	rigidbody	rb_mass	rb_kinematic	container	container_slots
_eventzone_boss_base	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
_TerrainCompiler	1	1	0	3	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
_ZoneCtrl	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Abomination	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	100	0	0	na
Abomination_attack1	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1.5	0	0	na
Abomination_attack2	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1.5	0	0	na
Abomination_attack3	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1.5	0	0	na
Abomination_ragdoll	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	0	na	na	0	na
Acorn	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
Amber	1	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	na	na	0	na	na	na	na	na	na	0	na	1	1	0	0	na
