name	flat_pad_verdict	setting	intended_setting	floating_fraction	air_isolation_max_m	mean_air_m	max_air_m	relief_m	footprint_span_m	footprint_area_m2	pieces	stations	portals	beds	missing_pieces	verdict	category	kind	metadata	licence	origin
hs_ashlands_sheepshank_myfirsthome.blueprint	DEFECT_on_land	needs_support	land	0.118	7.21	2.003	5.179	8.175	36.9	880.0	2144	19	5	1	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_lionsprideinn2.blueprint	DEFECT_on_land	needs_support	land	0.172	8.0	3.797	15.232	62.039	53.6	2256.0	7830	11	0	3	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
PuP_Bone-dragon.blueprint	DEFECT_on_land	needs_support	land	0.202	34.23	45.281	64.097	114.034	120.5	6384.0	926	0	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	fleet corpus
Rocket Raccoon_Casa_de_Campo.blueprint	DEFECT_on_land	needs_support	land	0.216	8.25	1.193	2.365	7.1	45.4	1276.0	489	5	0	2	2	PLACES_WITH_GAPS	base	setpiece	derived	none stated	mcarvall/Midgard-Valheim-Server
hs_ashlands_wissman_jarvidr_church_full.blueprint	DEFECT_on_land	needs_support	land	0.229	10.0	1.934	9.91	15.011	65.5	1884.0	3193	6	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_throneofdecay_brigames.blueprint	DEFECT_on_land	needs_support	land	0.239	10.2	1.413	8.471	9.835	62.9	1588.0	3180	4	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mountain_feasthallfinal.blueprint	DEFECT_on_land	needs_support	land	0.243	24.0	1.555	3.742	54.083	97.7	6404.0	6671	20	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_softpea_medievalbay.blueprint	DEFECT_on_land	needs_support	land	0.257	10.0	10.04	27.732	36.732	43.9	1088.0	4213	41	10	2	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_sorcererstower.blueprint	DEFECT_on_land	needs_support	land	0.275	8.94	7.732	17.241	60.78	22.6	364.0	1413	22	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_wissman_dunvegan_tavern.blueprint	DEFECT_on_land	needs_support	land	0.279	12.0	1.754	9.494	58.65	69.0	1436.0	2410	14	1	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
ruins_0_and_0_1_and_0_2_and_0_3.blueprint	DEFECT_on_land	needs_support	land	0.292	7.21	3.453	7.147	10.062	33.1	684.0	910	0	0	0	4	PLACES_WITH_GAPS	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
hs_ashlands_giant_cake_on_stand.blueprint	DEFECT_on_land	needs_support	land	0.3	6.32	2.539	24.218	25.798	28.4	720.0	2016	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
ruins_0_and_0_2_and_0_3.blueprint	DEFECT_on_land	needs_support	land	0.31	8.0	3.744	6.279	9.086	33.1	632.0	821	0	0	0	2	PLACES_WITH_GAPS	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
hs_ashlands_bridge_2.blueprint	DEFECT_on_land	needs_support	land	0.315	6.32	1.489	3.5	6.5	46.3	496.0	359	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
meadhall.blueprint	DEFECT_on_land	needs_support	land	0.317	14.14	11.585	39.8	40.8	90.5	4828.0	20213	51	2	1	2	PLACES_WITH_GAPS	base	setpiece	curated	none stated	fleet corpus
BjOrN_blueprint001.blueprint	DEFECT_on_land	needs_support	land	0.341	33.29	4.934	11.508	13.842	67.2	2032.0	1908	21	1	0	1	PLACES_WITH_GAPS	base	setpiece	curated	none stated	fleet corpus
