file	origin	licence	redistributable	category	kind	verdict	pieces	distinct_prefabs	footprint	top_tier	missing_pct	portals	stations	ih_discarded_rows	creator	role	fit
terrain-blueprint-contract.blueprint	JereKuusela/valheim-infinity_hammer	Unlicense (public domain)	yes	fixture	module	PLACES_CLEAN	2	1	4.0x0.0x0.0	meadows	0.0	0	0	0	Infinity Hammer	2 wood_floor pieces plus a #TerrainHeight and #TerrainPaint grid	not for the world -- it is the upstream contract for the terrain sections, and the reference this library's parser is checked against
terrain-future-section.blueprint	JereKuusela/valheim-infinity_hammer	Unlicense (public domain)	yes	fixture	module	PLACES_CLEAN	1	1	0.0x0.0x0.0	meadows	0.0	0	0	2	Infinity Hammer	deliberately contains unknown sections #FuturePieceData / #FutureTerrainData	not for the world -- its #Description is the authoritative statement that 'Unknown sections must not inherit the preceding parser state', which is what settles the #Terrain question. Scores UNUSABLE on purpose: `future_payload` is not a prefab, because it is never meant to be read as one
terrain-rotated-center.blueprint	JereKuusela/valheim-infinity_hammer	Unlicense (public domain)	yes	fixture	module	PLACES_CLEAN	2	2	3.0x4.0x1.0	meadows	0.0	0	0	0	Infinity Hammer	2 pieces with #Center:wood_floor and a rotated origin	not for the world -- pins the recentre-around-a-named-piece behaviour
PiNoKi_Longhouse.blueprint	constXife/bygd	MIT	yes	base	module	PLACES_CLEAN	182	16	15.6x11.4x6.1	meadows	0.0	0	0	0	PiNoKi	small longhouse, 16 x 11 x 6 m, 182 pieces	Meadows / Black Forest village filler; pure tier-1 materials
PiNoKi_SmallHut.blueprint	constXife/bygd	MIT	yes	outpost	module	PLACES_CLEAN	48	8	9.7x8.6x3.0	meadows	0.0	0	0	0	PiNoKi	one-room gabled hut, 10 x 9 x 3 m, 48 pieces, 8 prefabs	Meadows / Black Forest. The smallest habitable stamp in the whole library and the only redistributable one -- ideal as a courier shelter or rest stop, twenty times over
foresthold.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	defence	module	PLACES_CLEAN	585	32	18.0x12.0x13.0	blackforest	0.0	0	0	0	Raimod	small walled hold, 18 x 12 x 13 m, 585 pieces	Black Forest road choke point / gatehouse
foresthold_deserted.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	defence	module	PLACES_CLEAN	515	27	18.0x12.0x13.0	blackforest	0.0	0	0	0	Raimod	the same hold, stripped and empty, 515 pieces	abandoned hold; fine as a claimable objective
foresthold_remnant.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	86	6	17.3x10.0x8.5	blackforest	0.0	0	0	0	Raimod	wall stub only, 86 pieces	ruins scatter
foresthold_ruins.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	flavour	module	PLACES_CLEAN	285	24	16.5x12.0x12.5	blackforest	0.0	0	0	0	Raimod	the same hold as a ruin, 285 pieces	ruins landmark
instairtower.blueprint	RickardAndreasAgren/ValheimBlueprintCruncher	AGPL-3.0	incompatible	outpost	module	PLACES_CLEAN	243	17	9.7x10.0x11.1	blackforest	0.0	0	0	0	Raimod	watchtower with internal stair, 10 x 10 x 11 m	Black Forest watch line
